period,BAT,COL,NG,NUC,OTH,SUN,WAT,WND,carbon_intensity
2025-03-21 06:00:00,-13,17974,17636,10159,267,2,911,17556,360.2152204924642
2025-03-21 07:00:00,-53,17099,16788,10157,272,1,902,17993,349.978625374056
2025-03-21 08:00:00,-42,16777,17682,10158,254,2,915,17988,347.8849593623498
2025-03-21 09:00:00,3,16334,18204,10157,250,2,884,18541,341.47106796116503
2025-03-21 10:00:00,-31,16498,19855,10157,249,1,956,19193,340.7727503812913
2025-03-21 11:00:00,39,16851,21856,10160,250,2,1856,19677,338.2085413984807
2025-03-21 12:00:00,13,18061,24314,10160,278,3,2243,21227,340.5090499220173
2025-03-21 13:00:00,-51,18499,24017,10165,325,1063,2190,21159,339.36820608269676
2025-03-21 14:00:00,-70,16817,19770,10166,309,6436,1347,21136,303.55679677517094
2025-03-21 15:00:00,-45,15397,15747,10161,258,9827,995,20556,276.5048836698859
2025-03-21 16:00:00,-37,14045,13460,10155,247,10701,922,21437,254.11673480896658
2025-03-21 17:00:00,-58,12973,12277,10150,244,10993,884,21500,240.51302872554848
2025-03-21 18:00:00,-9,12700,11890,10142,244,10793,893,20930,239.49809863427194
2025-03-21 19:00:00,-112,12629,11647,10140,246,10468,904,20832,240.05902268028882
2025-03-21 20:00:00,-39,12648,11237,10132,261,9894,909,20935,240.65962380829683
2025-03-21 21:00:00,-3,12954,11155,10126,268,8717,933,21528,245.4490088005116
2025-03-21 22:00:00,20,13095,11468,10122,264,7588,1001,22830,246.62137735735374
2025-03-21 23:00:00,81,13272,12699,10123,262,5756,1007,23146,256.600247188979
2025-03-22 00:00:00,46,14534,15974,10119,263,2150,1484,22684,289.50248312368035
2025-03-22 01:00:00,61,16238,17689,10126,270,46,1564,22460,316.85219271335495
2025-03-22 02:00:00,42,17494,17852,10125,270,2,1561,21364,333.07233299374184
2025-03-22 03:00:00,10,17384,17184,10079,277,2,1127,20310,339.2825395868802
2025-03-22 04:00:00,-11,16963,16710,9901,276,2,973,19338,342.1670407781519
2025-03-22 05:00:00,3,16461,16355,9711,272,2,945,17438,349.04309738996847
2025-03-22 06:00:00,-25,16078,16413,9613,277,2,895,15897,355.6280642434489
2025-03-22 07:00:00,-33,15567,17010,9616,276,2,816,14370,361.2088713036235
2025-03-22 08:00:00,44,15620,17680,9617,277,2,809,12935,370.80584023585567
2025-03-22 09:00:00,-24,16019,17996,9619,276,2,804,12175,380.1062127420121
2025-03-22 10:00:00,-28,16131,18014,9623,275,1,803,11999,382.33482347143513
2025-03-22 11:00:00,-1,17017,19671,9622,273,1,914,11506,392.9240886056641
2025-03-22 12:00:00,27,17835,19971,9629,274,1,2049,10832,396.5802236959319
2025-03-22 13:00:00,18,19106,20969,9628,313,955,1179,10545,407.9377481542902
2025-03-22 14:00:00,-83,18438,17337,9629,330,6654,891,10255,370.8215788561252
2025-03-22 15:00:00,-38,17235,15148,9626,280,10273,858,9753,341.65993505979253
2025-03-22 16:00:00,-53,17652,13616,9618,251,11103,878,9596,340.4541900065432
2025-03-22 17:00:00,-79,16738,12142,9616,252,11453,870,11025,321.2183756066885
2025-03-22 18:00:00,-35,14881,11384,9615,257,11765,882,12533,292.8510818837505
2025-03-22 19:00:00,-31,13591,11180,9609,255,11846,897,13618,273.9916345444107
2025-03-22 20:00:00,-40,12266,11284,9610,254,12061,922,14460,255.73441636384564
2025-03-22 21:00:00,-6,11898,11891,9607,262,11983,935,15189,250.40237050470375
2025-03-22 22:00:00,-15,11742,12799,9607,266,11486,987,15971,249.6284391260761
2025-03-22 23:00:00,56,12221,15287,9604,264,8630,1083,16513,268.83816645197777
2025-03-23 00:00:00,93,15009,18651,9603,283,2464,2091,16880,322.2254663921074
2025-03-23 01:00:00,105,17513,19106,9601,333,39,2147,17480,352.8752789337193
2025-03-23 02:00:00,99,18045,18966,9605,343,3,1646,18049,356.9252202049254
2025-03-23 03:00:00,50,17773,18208,9605,336,3,1110,18799,353.331613138243
2025-03-23 04:00:00,3,17068,17553,9605,269,3,921,18994,347.4664679582712
2025-03-23 05:00:00,1,16134,16044,9651,258,3,904,19187,336.72445402206426
2025-03-23 06:00:00,1,15338,14840,9697,257,2,890,19116,328.2319881611546
2025-03-23 07:00:00,-34,14758,13879,9708,257,1,862,19069,321.94529914529915
2025-03-23 08:00:00,-64,14167,13559,9755,258,1,860,19751,311.8002298968895
2025-03-23 09:00:00,-58,13602,13193,9808,257,2,861,20067,303.4538903900783
2025-03-23 10:00:00,-18,13249,13353,9831,257,2,879,20321,298.32567301378856
2025-03-23 11:00:00,18,13646,14228,9883,258,1,930,20241,303.56557723165275
2025-03-23 12:00:00,-28,14148,14435,9878,258,2,1398,20391,305.99517211732416
2025-03-23 13:00:00,20,14650,14395,9897,261,391,986,20526,309.9008605176193
2025-03-23 14:00:00,7,14899,13976,9928,266,1599,931,21144,302.7808764940239
2025-03-23 15:00:00,22,15593,14286,9919,268,2212,974,21340,305.6319063979942
2025-03-23 16:00:00,-35,16084,13668,9956,270,3320,997,21151,304.8844995490055
2025-03-23 17:00:00,-83,15776,13334,9981,271,4354,956,21301,296.4334496888754
2025-03-23 18:00:00,-37,15054,13073,9986,260,4439,885,22601,283.3914368934969
2025-03-23 19:00:00,5,14215,13735,9979,259,4045,885,23727,273.5602094240838
2025-03-23 20:00:00,11,14374,14198,9968,258,3393,883,24173,276.7819441553421
2025-03-23 21:00:00,18,14337,15121,9962,257,3246,905,23875,279.8496773526676
2025-03-23 22:00:00,66,15081,15969,9961,260,2913,1014,23462,290.4359339987777
2025-03-23 23:00:00,13,16065,16573,9967,279,2624,1002,23457,301.33895398685337
2025-03-24 00:00:00,23,16354,17662,10009,284,1207,1467,23785,307.7142574621068
2025-03-24 01:00:00,32,17942,18517,10122,266,30,1498,23116,329.32902702627126
2025-03-24 02:00:00,-33,18824,18407,10189,264,1,1069,22822,339.71737276882436
2025-03-24 03:00:00,-37,18679,17317,10190,265,1,977,22299,340.6164354077284
2025-03-24 04:00:00,-20,17307,15976,10097,244,1,937,22141,329.419792150923
2025-03-24 05:00:00,-56,16061,15120,10152,242,1,924,22139,317.465896598176
2025-03-24 06:00:00,0,15047,14068,10168,241,2,915,21676,308.6031199188628
2025-03-24 07:00:00,-8,14246,13417,10160,237,2,878,21069,303.1316144730921
2025-03-24 08:00:00,-61,14304,13476,10158,241,2,884,20655,306.1398950703163
2025-03-24 09:00:00,-15,14008,13717,10144,240,2,887,20989,301.7074634829587
2025-03-24 10:00:00,-7,14353,15178,10132,239,1,908,21212,306.1935629514964
2025-03-24 11:00:00,-38,15828,17532,10136,252,1,1018,20828,324.2674313955794
2025-03-24 12:00:00,65,18050,19851,10140,238,2,2066,19881,344.06555418035936
2025-03-24 13:00:00,63,19859,21057,10136,250,623,2090,18345,363.0876931361584
2025-03-24 14:00:00,75,19774,20049,10141,251,4286,1375,16248,357.57004944666824
2025-03-24 15:00:00,35,19969,19582,10143,251,7078,1044,13670,359.53993200691076
2025-03-24 16:00:00,-21,19854,19527,10152,253,8816,995,11742,360.0689867915533
2025-03-24 17:00:00,-36,18939,19183,10177,257,9392,977,11126,353.04291937441974
2025-03-24 18:00:00,-71,18674,18295,10260,260,10285,979,10972,346.3490969649984
2025-03-24 19:00:00,-39,17548,18051,10270,250,10612,1001,11121,334.4319469875316
2025-03-24 20:00:00,-45,16618,18510,10268,248,10733,999,10872,327.8477486327581
2025-03-24 21:00:00,-21,16341,19180,10266,248,10061,998,10354,331.8982010173966
2025-03-24 22:00:00,-3,16752,20473,10261,251,9042,998,9982,343.37918413129466
2025-03-24 23:00:00,21,17900,22956,10259,253,6675,1535,9002,368.6885030830454
2025-03-25 00:00:00,48,19239,26389,10257,252,2386,2454,7946,404.0930246045439
2025-03-25 01:00:00,60,20646,28383,10261,251,52,2506,7453,430.02068608860543
2025-03-25 02:00:00,63,21372,28441,10260,251,1,2490,7249,436.5109016498638
2025-03-25 03:00:00,0,21176,26815,10259,253,1,2179,7170,438.95479934564423
2025-03-25 04:00:00,2,20820,25670,10241,254,1,1175,6592,447.9345224307003
2025-03-25 05:00:00,2,20600,24558,10214,251,1,929,6153,452.3059258786758
2025-03-25 06:00:00,-1,20041,23791,10211,251,2,849,5819,451.9675868969703
2025-03-25 07:00:00,-10,19738,23002,10231,248,2,821,5625,452.0006034497209
2025-03-25 08:00:00,-4,19823,23096,10181,249,2,820,5252,455.7313317289083
2025-03-25 09:00:00,0,19836,23558,9944,253,2,806,5147,458.0593154871864
2025-03-25 10:00:00,0,20246,23883,9723,256,2,845,5166,461.9783436735916
2025-03-25 11:00:00,0,20524,25220,9693,257,2,1566,6144,450.4242500709712
2025-03-25 12:00:00,0,21774,27653,9693,260,3,2064,6489,451.2747291568535
2025-03-25 13:00:00,9,22189,28369,9686,275,881,2305,6195,447.9780857972507
2025-03-25 14:00:00,-21,21369,24966,9688,317,5527,2098,5463,420.9733888512686
2025-03-25 15:00:00,-53,21367,24275,9682,313,8794,1197,4133,415.1646869799736
2025-03-25 16:00:00,-16,21120,22104,9675,267,9707,870,4621,407.4676654766782
2025-03-25 17:00:00,30,20661,21296,9670,255,10390,896,5291,395.87817021711516
2025-03-25 18:00:00,25,20200,20996,9659,247,10139,908,6067,389.4784660248238
2025-03-25 19:00:00,20,19914,20672,9649,257,9742,906,7452,381.73205853203524
2025-03-25 20:00:00,-66,19658,20975,9655,254,9408,877,8844,374.7173335248905
2025-03-25 21:00:00,-25,19058,20748,9659,259,8998,938,10584,362.4574545350973
2025-03-25 22:00:00,-43,18034,20809,9620,257,8655,973,13125,343.7519249615008
2025-03-25 23:00:00,-2,17979,22099,9630,258,7106,1042,13344,350.15534034930585
2025-03-26 00:00:00,26,18900,25510,9649,270,2556,2045,12376,381.5118039589525
2025-03-26 01:00:00,43,21106,27911,9649,297,67,2445,9976,421.85078468123197
2025-03-26 02:00:00,31,22191,27758,9659,304,4,2429,9345,433.2775616625535
2025-03-26 03:00:00,-55,22300,26138,9656,271,4,1690,9325,440.29482611894014
2025-03-26 04:00:00,28,21102,25341,9666,251,3,981,9287,436.97325192397125
2025-03-26 05:00:00,19,20259,25329,9670,279,2,885,8432,437.22080924855493
2025-03-26 06:00:00,-10,20446,24372,9670,293,2,838,7455,446.3609551898012
2025-03-26 07:00:00,-26,20133,24278,9672,277,2,844,6633,450.24347629139504
2025-03-26 08:00:00,-31,19915,24222,9679,238,2,837,6250,451.83106427542873
2025-03-26 09:00:00,-5,19528,24160,9682,237,2,833,6478,447.167364360174
2025-03-26 10:00:00,-6,20041,24806,9679,242,2,966,6146,451.8601719568169
2025-03-26 11:00:00,15,20489,26654,9679,242,2,1774,6103,448.0079435943225
2025-03-26 12:00:00,7,21718,28453,9679,241,3,2409,5944,451.7982879013644
2025-03-26 13:00:00,-43,22258,28004,9682,269,1243,2247,5899,449.0260066993487
2025-03-26 14:00:00,28,21422,24914,9684,283,5948,1565,5023,424.6649338580162
2025-03-26 15:00:00,0,20653,23320,9678,261,9223,903,3393,413.9891147988314
2025-03-26 16:00:00,16,20396,23442,9670,242,10268,868,2351,412.371195337011
2025-03-26 17:00:00,-41,20262,22737,9675,241,10826,883,2389,408.089948037986
2025-03-26 18:00:00,25,19943,22877,9669,250,10848,915,2940,401.6704462922614
2025-03-26 19:00:00,2,19548,22951,9670,258,10654,950,3621,395.74304549620126
2025-03-26 20:00:00,14,19193,22770,9677,273,10283,953,4171,391.8035464995396
2025-03-26 21:00:00,35,19035,23407,9794,280,9705,969,4318,392.25826510519227
2025-03-26 22:00:00,50,19336,24200,9900,280,8649,978,4308,400.0295416611276
2025-03-26 23:00:00,21,19960,25495,9903,281,6793,1362,4342,413.19306894376217
2025-03-27 00:00:00,40,20332,27786,9897,291,2426,2504,5488,427.7412599616078
2025-03-27 01:00:00,20,20903,29381,9898,310,106,2589,6999,435.363074381107
2025-03-27 02:00:00,3,20656,28848,9898,323,66,2398,8115,428.5433882828168
2025-03-27 03:00:00,-8,20022,26968,9898,317,66,1356,9708,421.6049292373439
2025-03-27 04:00:00,-7,18160,25567,9897,334,65,948,10620,405.1414979263235
2025-03-27 05:00:00,-35,17311,23286,9898,339,65,888,11561,393.1941307472399
2025-03-27 06:00:00,0,17234,21762,9903,335,65,934,11613,391.5435113022669
2025-03-27 07:00:00,-42,16803,19888,9915,311,66,904,12386,383.1565140874301
2025-03-27 08:00:00,-34,16227,19164,10016,259,65,857,13550,370.5227605483828
2025-03-27 09:00:00,32,16167,19246,10133,253,66,867,14222,364.8165152657987
2025-03-27 10:00:00,-6,16091,20001,10141,262,66,868,14641,362.2438128383604
2025-03-27 11:00:00,-23,16218,20658,10139,275,65,1432,16154,352.12729905419144
2025-03-27 12:00:00,-35,16659,22087,10145,289,68,2686,16835,346.66831553525185
2025-03-27 13:00:00,-55,17791,21440,10147,291,759,2603,17228,350.23502934305736
2025-03-27 14:00:00,64,18467,20913,10150,276,3285,1371,15370,357.46680782877417
2025-03-27 15:00:00,6,18588,20369,10147,272,5116,975,13229,362.0971732991762
2025-03-27 16:00:00,-7,18321,19572,10144,272,5939,976,13056,356.1832642479458
2025-03-27 17:00:00,-17,17585,19154,10137,271,6481,957,13508,345.0276161936659
2025-03-27 18:00:00,-25,17405,19815,10099,259,6993,982,12881,344.8449765381748
2025-03-27 19:00:00,-1,17601,20258,9953,251,7098,987,12120,350.7419397366224
2025-03-27 20:00:00,25,17932,20559,9830,252,6780,988,11958,356.5716292957087
2025-03-27 21:00:00,6,18088,20767,9804,249,5839,1021,12367,360.81067198896403
2025-03-27 22:00:00,15,18396,21474,9803,250,4736,1045,12538,368.4017756420587
2025-03-27 23:00:00,56,19180,22069,9805,271,3435,1111,12657,380.4035926746763
2025-03-28 00:00:00,-7,19775,22875,9803,275,1240,2192,13403,387.4216458680775
2025-03-28 01:00:00,11,20291,23583,9800,274,73,2221,14187,393.17291311754684
2025-03-28 02:00:00,-18,19427,23562,9801,281,31,1377,16382,379.84133929957795
2025-03-28 03:00:00,-52,17818,21591,9808,296,30,1005,18533,357.42369149198163
2025-03-28 04:00:00,-45,16525,20207,9812,295,30,895,19099,343.54964231195186
2025-03-28 05:00:00,-28,14806,19168,9816,278,29,905,18815,329.094357961404
2025-03-28 06:00:00,100,14118,18872,9817,273,29,987,18656,322.2650035002864
2025-03-28 07:00:00,-7,13850,17444,9825,259,29,916,18866,317.7830080742702
2025-03-28 08:00:00,-48,12992,15947,9853,254,29,865,19078,306.4541292182466
2025-03-28 09:00:00,-24,12797,16301,9857,255,29,843,19170,304.5468359559668
2025-03-28 10:00:00,-27,13309,16600,9854,260,29,889,19283,309.28617705201253
2025-03-28 11:00:00,36,14273,17300,9855,284,29,1556,19534,314.40501375920593
2025-03-28 12:00:00,20,15279,18474,9863,284,29,2216,20375,317.7141568981064
2025-03-28 13:00:00,97,16332,18359,9863,284,512,2181,20773,322.25259864621864
2025-03-28 14:00:00,53,16482,17765,9866,268,2892,1302,20186,318.82756415845614
2025-03-28 15:00:00,43,15955,16313,9864,267,5489,1006,20462,300.9366129194945
2025-03-28 16:00:00,0,15388,15227,9857,246,7387,992,20303,287.31988472622476
2025-03-28 17:00:00,-20,14643,15078,9851,246,8144,1000,20607,276.2067031876806
2025-03-28 18:00:00,-32,13976,14699,9850,263,8875,999,20459,267.16264528361967
2025-03-28 19:00:00,-28,13726,14860,9836,295,9047,999,20683,263.58293238065056
2025-03-28 20:00:00,-36,14198,15312,9843,313,8792,1001,20701,269.56534139524274
2025-03-28 21:00:00,21,14496,16232,9860,345,7606,1025,20735,277.8612059158134
2025-03-28 22:00:00,-8,14405,16679,9844,377,6811,1040,20637,281.37995271190084
2025-03-28 23:00:00,-12,14241,17379,9835,387,5077,1125,21117,285.8826591852377
2025-03-29 00:00:00,36,14753,18159,9835,405,1592,1878,21844,299.86423754050975
2025-03-29 01:00:00,29,16046,18862,9827,408,50,1492,21879,320.53124954441415
2025-03-29 02:00:00,22,16662,18481,9645,413,1,1148,21479,329.9612385963361
2025-03-29 03:00:00,-19,16571,17449,9279,430,1,1065,21450,330.5876845951741
2025-03-29 04:00:00,-29,16310,16326,8771,441,1,953,21022,332.4617916764637
2025-03-29 05:00:00,-75,15843,15331,8444,431,1,896,20635,331.53025721067866
2025-03-29 06:00:00,-43,14868,13947,8320,450,1,894,20979,319.10596472330684
2025-03-29 07:00:00,7,14287,13832,8252,448,1,894,19998,318.63164642492075
2025-03-29 08:00:00,42,14464,14641,8220,441,1,885,17378,336.60293907832784
2025-03-29 09:00:00,27,14870,14838,8222,436,1,889,15379,353.4118766236142
2025-03-29 10:00:00,52,15992,15627,8205,445,1,905,13366,378.13639111241366
2025-03-29 11:00:00,10,16958,16225,8217,459,1,932,11690,399.1815312339426
2025-03-29 12:00:00,-55,17812,16574,8198,464,1,1001,12226,403.0593550452678
2025-03-29 13:00:00,-18,18538,17246,8201,468,128,1009,12487,406.1833651974715
2025-03-29 14:00:00,57,19324,17644,8217,481,730,1009,12633,406.84249937598804
2025-03-29 15:00:00,31,19531,18166,8222,508,1540,1000,12513,403.9001154265091
2025-03-29 16:00:00,3,19326,18323,8300,526,2556,1025,12543,394.9170953004696
2025-03-29 17:00:00,-64,18624,17773,8405,518,3568,1015,12935,380.2657151049798
2025-03-29 18:00:00,0,18652,18234,8445,505,4021,965,12105,382.6719849984903
2025-03-29 19:00:00,18,18778,18146,8477,497,4104,958,12279,381.91188326983576
2025-03-29 20:00:00,-14,17938,17842,8515,521,3583,959,14547,364.3862202814168
2025-03-29 21:00:00,-23,17901,17826,8542,537,2942,985,16341,357.27813561667
2025-03-29 22:00:00,-2,18700,18414,8561,498,2325,992,16702,365.5476658105454
2025-03-29 23:00:00,27,17912,18012,8573,483,1945,1529,17347,354.34161754876345
2025-03-30 00:00:00,43,18479,19218,8580,487,1055,1927,17001,364.1009133103758
